commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
0550fd186764bb7fd98e8a1ce1c51f95598a5269,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
09aa9aef8ba6507ff224946b42435c2b45972d7b,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
1395b25b38967ebd6983cf04837edfd78e31be78,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
140e36081cb2f3dff39d7b9b03716476db3ac836,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
169ef5051759a346baf7691bf40b2cb8169c53a0,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
1fb82ad71050dceebe7cb52aff4a48827b9ba8f0,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
20166c47ad478295bb1841b1d40c2838e072512f,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
2127af0303ea967cc7e1e82d93c4826bd2f6e246,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
22a6d4edf4b63e90eff8c74b872163c94ba68796,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
23125a1e7ca0d626f480d81d51cedcdec77a84f2,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
26f922b51330876ea440d23c370a923a2e5bfaa0,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
28c0449c0f9f9431eaec782ad22239d5a19f67d0,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
29fe911151c810f2d6db59a064fd616d92a7c50a,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
2c3b3405ee02041a3e754888c1e06da1ad8d7e4e,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
2d2d5c2c9356846f2e3dbef05f7cda015005cd80,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
2e672973b29fba804f10a34f05d2207ddcce762e,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
3057c64668b070a4f0f53749f627d73d1ad999e9,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
34d8310beafea8a98ed0d3511f2d34ed671e0597,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
36c68a85b96d400285776d1575eb62290cfb16ab,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
3af250c3ff7b2e521fb28a89b01db19af3ae3d09,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
3b7a4ea86c282ac3017240c2678b2c889c1abac3,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
3c3b70934252c10f1a971b72fbaf58da49460b3e,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
3ce93142a51395de6879f281e938a7cdba329622,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
4093ecef4214b0ba29e4ed037e3020571a95c06e,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
47fe52e82101427fef7e1bda5e0d5735ff9466b7,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
49511dd1972486790de3dac60d1b47d2f9895ff1,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
4cbf6aa985171dfc29bf9040020065e4dfaac27f,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
53dfd753efb9a549b81d2120aecde7d6b2dd278a,69,6,0,11,3,61,"259, 327, 330, 78, 20, 377, 703"
