commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
79422c28d1cf0dbd62522fa0e3106ffb587ef807,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
79ad491712759e7513146bfe7504a58305599272,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
7bb31d1f0976b49255cdcefc14260a714a8e9bd6,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
7fd01a2b80be618687cb3eb0f4b0d13eef6b7928,154,3,2,2,28,129,"259, 327, 330, 78, 400, 20, 502, 22, 703"
81a48b1d499bc5b7f059a493adce644200ce151d,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
853084d20180b33d032d5665dd0f441a0c4e39df,154,3,2,2,28,129,"259, 327, 330, 78, 400, 20, 502, 22, 703"
867c9344fff1f8184631a26f1fc4c96dc69f8de2,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
8685a8f268f8543f4ff69bac2f50a938bb73538d,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
8c15865aaebc7f73faeb0939d07fa982d646b2c4,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
8cf55076f481225b0afee62ccad76c9df41e33b6,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
908e4dad66d94cdd19fd087884177e7d7d0157f4,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
90cc7d67847007160c8d359f29774595f93921e9,150,3,2,2,27,126,"259, 327, 330, 78, 400, 20, 22, 502, 703"
96c67c0a443d22ef733a6ee152c1708464f28ee2,150,3,2,2,27,126,"259, 327, 330, 78, 400, 20, 22, 502, 703"
980648820271e6dd96ea60b9e419668fd618df6f,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
9890fd5831162493221e2a4edfa30bd3d089a36a,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
a26f5cb3f5dc857f6974ead388379bc0eb12ff77,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
a40e8c3e5d64f50fa558dece82e57ecc49e96695,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
ab64c8076bdec4ca16fff6548bbd49f6d20fb70f,150,3,2,2,27,126,"259, 327, 330, 78, 400, 20, 22, 502, 703"
ac7b35dd88e5b56b0416eaf7502f09732c58c1be,150,3,2,2,27,126,"259, 327, 330, 78, 400, 20, 22, 502, 703"
b1fa92e02e58dba5f001a7eb81962c1e72ef8794,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
b62a8bd5bdb9cc201aee85c939d7c63611ca7314,150,3,2,2,27,126,"259, 327, 330, 78, 400, 20, 22, 502, 703"
b818863cb46e7e4b83d6ebe775e80bd7cbc009e8,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
bbe56420a85eb07448defb2077f13f6c650bad43,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
bd951479bc81a3fbfbaf43a7e4f1b804c9e5ce0b,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
c2bbd592da2dccc7e966a94d5d5af52f9d6babd6,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
c4af7ddd3b0bb7665c4621b0d3a3575f89cd33e2,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
c521fc78f976d1a4bf3f2654555d2fdc16cd7bdb,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
cef35c4bcfc40d723e7d7163993ce2ab0a577e72,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
cf4a7ea012b59997014baab56720d7ba2d9bcaa7,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
d1af76bdada9ee3e20d8be6bfd4bdf3570e28a55,150,3,2,2,27,126,"259, 327, 330, 78, 400, 20, 22, 502, 703"
d1c07abf3c801576a086d7bd16df5a11cd5dcbb4,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
d21213dfd1bdf06e4444dfb849177d9ae3eb8996,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
daad127a3a922e08420225baa04f84088dc2e011,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
dac4bc64d436ceb6fb5b82f1a2d24a64bb09c8ac,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
dacf11ca92e09fb959af9d64565ce84e545e35e1,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
de048941f4655fa4a1770efd242f82fc43c89d2b,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
deb16bc2b3f24fc7f70274556e968b2802056100,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
e22250ec737d1d31091eecd51876bef115007bd6,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
e481a87a9ddb87c02853c723f51b1b7ab7d22ab1,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
e617151f41eff9e67fc9f93fa71b075ef3e1775a,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
f15f3becf0c2064efc76b60873241a1dd9680d06,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
f378c271ccc5830775c3235dc0b6eae721a9a825,154,3,2,2,28,129,"259, 327, 330, 78, 400, 20, 502, 22, 703"
f3c420f2a957c3f5b97b3cf6e40c632bfa5fe0fb,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
f6dabcd0b8020e983af109c0eb33558483bfefd7,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
f88c9b33e17a323630e1dfba9e8d687d448febcf,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
f8eaa0c1af5064ddd80076b29eaf3b544f7e8e50,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
f9251b2a0bb5277a88dbf07144e7f9ef53001954,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
fa069e674375f7f4523609b2c97e588e6d1b0a3a,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
fa81d36e9131e2dde23cded237d3ca7898d28658,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
fcd084eaf0802c4a19b3fa13187974282a321636,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
fd0e529ba19f1f2f9b998bea150bd0c1a69aca80,154,3,2,2,28,129,"259, 327, 330, 78, 400, 20, 502, 22, 703"
fefb941cbe4e374a48930a4fc654e4da75877386,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
